jornal_url,journal,article_number,citation_number,impact_factor,most_cited,year,cited_by
/journal/35949/cancer-nanotechnology,Cancer Nanotechnology,136.0,3100.0,7.3,Gold nanoparticles for cancer radiotherapy: a review,2016.0,227.0
/journal/20204/nano,Nano,1600.0,8900.0,1.1,INVESTIGATION OF HOMOLOGOUS SERIES AS PRECURSORY HYDROCARBONS FOR ALIGNED CARBON NANOTUBE FORMATION BY THE SPRAY PYROLYSIS METHOD,2011.0,217.0
/journal/12736/nanotechnology,Nanotechnology,20200.0,547400.0,3.3,The bactericidal effect of silver nanoparticles,2005.0,4600.0
/journal/27969/nano-structures-nano-objects,Nano Structures Nano Objects,576.0,7200.0,5.5,Recent developments in functionalized polymer nanoparticles for efficient drug delivery system,2019.0,137.0
/journal/88571/advances-in-nano-optics-and-nano-photonics,Advances in Nano-optics and Nano-photonics,18.0,3.0,N/A,Chapter 3 Super-resolution microscopy using surface plasmon polaritons,2006.0,1.0
/journal/12805/nano-letters,Nano Letters,18100.0,1800000.0,11.3,Superior thermal conductivity of single-layer graphene,2008.0,9700.0
/journal/12906/acs-nano,ACS Nano,16700.0,1400000.0,16.4,Improved synthesis of graphene oxide,2010.0,8100.0
/journal/14857/nano-energy,Nano Energy,7000.0,353800.0,16.9,Flexible triboelectric generator,2012.0,2900.0
/journal/16363/nano-research,Nano Research,4400.0,146300.0,9.9,Nano-Graphene Oxide for Cellular Imaging and Drug Delivery,2008.0,2700.0
/journal/23596/nano-today,Nano Today,1100.0,88000.0,17.7,Designing nanostructured Si anodes for high energy lithium ion batteries,2012.0,1500.0
/journal/31254/nano-life,Nano LIFE,279.0,1500.0,0.9,MAGNETIC NANOPARTICLE HYPERTHERMIA IN CANCER TREATMENT,2010.0,199.0
/journal/31893/nano-convergence,Nano Convergence,302.0,5600.0,8.9,Hyperbolic metamaterials: fundamentals and applications,2014.0,310.0
/journal/37020/nano-futures,Nano Futures,126.0,997.0,3.4,Roadmap on solar water splitting: current status and future prospects,2017.0,109.0
/journal/39129/nano-hybrids,Nano Hybrids,56.0,228.0,N/A,Green Synthesis of Silver Nanoparticles Using Local Honey,2013.0,27.0
/journal/39334/nano-reviews,Nano Reviews,49.0,3400.0,N/A,Potential toxicity of superparamagnetic iron oxide nanoparticles (SPION),2010.0,675.0
/journal/39784/nano-express,Nano Express,278.0,765.0,1.9,"Synthesis of ZnO nanoparticles by two different methods & comparison of their structural, antibacterial, photocatalytic and optical properties",2020.0,38.0
/journal/47887/applied-nano,Applied Nano,37.0,43.0,1.0,Palladium-Nanoparticles Biohybrids in Applied Chemistry,2021.0,7.0
/journal/69697/nano-select,Nano Select,243.0,717.0,3.0,How to select effective electrocatalysts: Nano or single atom?,2021.0,38.0
/journal/93297/nano-advances,Nano Advances,27.0,111.0,0.0,Recent Advances in Heteroatom-Doped Graphene Materials as Efficient Electrocatalysts towards the Oxygen Reduction Reaction,2016.0,33.0
/journal/15515/nature-nanotechnology,Nature Nanotechnology,2800.0,597400.0,28.0,Electronics and optoelectronics of two-dimensional transition metal dichalcogenides,2012.0,10600.0
/journal/21723/nanotechnologies-in-russia,Nanotechnologies in Russia,1200.0,5700.0,0.6,"Ion-exchange membrane materials: Properties, modification, and practical application",2009.0,80.0
/journal/27139/journal-of-nanotechnology,Journal of Nanotechnology,489.0,5700.0,3.4,Biosynthesis of Metal Nanoparticles: A Review,2014.0,222.0
/journal/28970/nanotechnology-reviews,Nanotechnology Reviews,695.0,7900.0,6.2,Interactions of graphene and graphene oxide with proteins and peptides,2013.0,160.0
/journal/30455/nanomaterials-and-nanotechnology,Nanomaterials and Nanotechnology,321.0,3300.0,2.8,A Review on the Preparation of Borazine-Derived Boron Nitride Nanoparticles and Nanopolyhedrons by Spray-Pyrolysis and Annealing Process,2016.0,100.0
/journal/35647/pharmaceutical-nanotechnology,Pharmaceutical Nanotechnology,241.0,1500.0,3.8,Drug Combinations in Breast Cancer Therapy,2019.0,69.0
/journal/39599/isrn-nanotechnology,ISRN Nanotechnology,104.0,1300.0,N/A,"Synthesis, Characterization, and Spectroscopic Properties of ZnO Nanoparticles",2012.0,221.0
/journal/43163/nanotechnology-development,Nanotechnology Development,17.0,212.0,N/A,Effect of nanoparticles suspension on the growth of mung (Vigna radiata) seedlings by foliar spray method,2013.0,94.0
/journal/46481/frontiers-in-nanotechnology,Frontiers in Nanotechnology,83.0,388.0,5.4,Nanoparticle-Based Sustainable Agriculture and Food Science: Recent Advances and Future Outlook,2020.0,71.0
/journal/47532/nanoscience-and-nanotechnology,Nanoscience and Nanotechnology,45.0,1300.0,N/A,Mechanical Milling: a Top Down Approach for the Synthesis of Nanomaterials and Nanocomposites,2012.0,309.0
/journal/48558/computational-nanotechnology,Computational Nanotechnology,135.0,22.0,0.1,Mathematical modeling of the spread of COVID-19 in Moscow,2020.0,9.0
/journal/87477/nanotechnology-perceptions,Nanotechnology Perceptions,94.0,278.0,0.2,What is nanotechnology?,2005.0,30.0
/journal/90843/perspectives-in-nanotechnology,Perspectives in Nanotechnology,15.0,16.0,N/A,Nanotechnology and Global Sustainability,2011.0,3.0
/journal/101410/nanotechnologies-in-construction,Nanotechnologies in Construction,195.0,177.0,0.5,Influence of electrode potential on the depth of pitting corrosion in the surface structures of placed steel,2018.0,13.0
/journal/107422/journal-of-nanotechnology,Journal of Nanotechnology,21.0,16.0,0.0,"Reduction of Coliforms presents in domestic residual waters by Air-Ozone Micro-Nanobubbles In Carhuaz city, Peru",2017.0,4.0
/journal/110610/nanotechnology-applications,Nanotechnology & Applications,14.0,7.0,0.0,Fabrication of Polyaniline-Zr(IV) Molybdophosphate as a Nanocomposite and its Potential Applications,2018.0,2.0
/journal/17392/micro-and-nano-letters,Micro and Nano Letters,2900.0,14400.0,0.9,Experimental investigation of viscosity and specific heat of silicon dioxide nanofluids,2007.0,239.0
/journal/21365/environmental-science-nano,Environmental Science: Nano,1500.0,34900.0,7.0,"Recent advances in BiOX (X = Cl, Br and I) photocatalysts: synthesis, modification, facet effects and mechanisms",2014.0,511.0
/journal/22391/journal-of-nano-research,Journal of Nano Research,1100.0,5000.0,1.0,"The Use of Metal Nanoparticles to Produce Yellow, Red and Iridescent Colour, from Bronze Age to Present Times in Lustre Pottery and Glass: Solid State Chemistry, Spectroscopy and Nanostructure",2009.0,112.0
/journal/24727/nano-micro-letters,Nano-Micro Letters,1100.0,32100.0,19.2,Review on Zinc Oxide Nanoparticles: Antibacterial Activity and Toxicity Mechanism,2015.0,1800.0
/journal/29728/international-nano-letters,International Nano Letters,357.0,8800.0,5.6,"Silver nanoparticles: mechanism of antimicrobial action, synthesis, medical applications, and toxicity effects",2012.0,1200.0
/journal/30681/nano-communication-networks,Nano Communication Networks,281.0,5800.0,2.7,Electromagnetic wireless nanosensor networks,2010.0,414.0
/journal/31995/nano-hybrids-and-composites,Nano Hybrids and Composites,277.0,483.0,0.7,Fabrication and Characterization of Pineapple Fiber-Reinforced Polypropylene Based Composites,2018.0,16.0
/journal/37522/materials-today-nano,Materials Today Nano,223.0,2300.0,9.6,Polymers of intrinsic microporosity for energy-intensive membrane-based gas separations,2018.0,125.0
/journal/37830/nano-biomedicine-and-engineering,Nano Biomedicine and Engineering,285.0,2000.0,1.9,Silver Nanoparticles: Novel Antimicrobial Agent Synthesized from an Endophytic Fungus Pestalotia sp. Isolated from Leaves of Syzygium cumini (L),2011.0,96.0
/journal/38167/nano-materials-science,Nano Materials Science,120.0,1900.0,10.1,"Synthesis, properties, and applications of graphene oxide/reduced graphene oxide and their nanocomposites",2019.0,443.0
/journal/39203/micro-and-nano-engineering,Micro and Nano Engineering,129.0,513.0,3.2,30 years of microfluidics,2019.0,189.0
/journal/41701/nano-research-applications,Nano Research & Applications,16.0,49.0,0.0,"The Study of Structural, Physical and Electrochemical Activity of Zno Nanoparticles Synthesized by Green Natural Extracts of Sageretia Thea",2017.0,15.0
/journal/43995/nano-reviews-experiments,Nano Reviews & Experiments,12.0,302.0,N/A,Polyethylenimine-based nanocarriers in co-delivery of drug and gene: a developing horizon,2018.0,105.0
/journal/47931/advances-in-nano-research,Advances in Nano Research,85.0,650.0,N/A,Nonlocal effects on thermal buckling properties of double-walled carbon nanotubes,2013.0,94.0
/journal/59173/nano-optics-and-nanophotonics,Nano-optics and Nanophotonics,130.0,281.0,0.0,Quantum Dots for Quantum Information Technologies,2017.0,84.0
/journal/65225/micronano-technologies,Micro/Nano Technologies,108.0,33.0,N/A,Triboelectric Nanogenerators,2018.0,9.0
/journal/88232/nano-i-mikrosistemnaya-tekhnika,Nano - I Mikrosistemnaya Tekhnika,353.0,81.0,0.0,Actuating IPMC Tranducers with Feedback System Based on IPMC Sensor,2019.0,10.0
/journal/108878/advanced-nano-research,Advanced Nano Research,11.0,21.0,0.8,Green Synthesis of Silver Nanoparticles Using Waste Tea Leaves,2020.0,5.0
/journal/12441/cancer,Cancer,43600.0,2300000.0,6.2,Reporting results of cancer treatment,1981.0,6700.0
/journal/13910/cancers,Cancers,12400.0,131200.0,6.3,Drug resistance in cancer: an overview,2014.0,1200.0
/journal/12727/journal-of-nanoscience-and-nanotechnology,Journal of Nanoscience and Nanotechnology,22100.0,154000.0,1.2,Chemical vapor deposition of carbon nanotubes: a review on growth mechanism and mass production,2010.0,909.0
/journal/17362/ieee-nanotechnology-magazine,IEEE Nanotechnology Magazine,2600.0,40900.0,2.5,Single-walled carbon nanotube electronics,2002.0,775.0
/journal/18095/beilstein-journal-of-nanotechnology,Beilstein Journal of Nanotechnology,2100.0,34800.0,3.0,"Review on nanoparticles and nanostructured materials: history, sources, toxicity and regulations",2018.0,1300.0
/journal/18857/journal-of-biomedical-nanotechnology,Journal of Biomedical Nanotechnology,2400.0,38900.0,3.2,Antibacterial Effect of Silver Nanoparticles Produced by Fungal Process on Textile Fabrics and Their Effluent Treatment,2007.0,658.0
/journal/21624/international-journal-of-nanotechnology,International Journal of Nanotechnology,1300.0,7100.0,0.8,On the design of advanced metal oxide nanomaterials,2004.0,153.0
/journal/27229/nanoscience-and-nanotechnology-letters,Nanoscience and Nanotechnology Letters,2200.0,6700.0,0.3,Deagglomeration of Detonation Nanodiamonds,2011.0,132.0
/journal/29873/ieee-nanotechnology-magazine,IEEE Nanotechnology Magazine,364.0,1300.0,1.5,Heterogeneously Integrated InP\/Silicon Photonics: Fabricating Fully Functional Transceivers,2019.0,77.0
/journal/30230/journal-of-nanomedicine-nanotechnology,Journal of Nanomedicine & Nanotechnology,348.0,3500.0,1.9,Paclitaxel Nano-Delivery Systems: A Comprehensive Review,2013.0,270.0
/journal/33121/recent-patents-on-nanotechnology,Recent Patents on Nanotechnology,346.0,3700.0,1.2,Nanostructured Lipid Carriers (NLCs) for Drug Delivery and Targeting,2013.0,176.0
/journal/35145/rsc-nanoscience-and-nanotechnology,RSC Nanoscience and Nanotechnology,472.0,1100.0,N/A,Fullerenes,2007.0,136.0
/journal/36254/nanotechnology-science-and-applications,"Nanotechnology, Science and Applications",116.0,6400.0,3.8,"Synthesis, characterization, applications, and challenges of iron oxide nanoparticles",2016.0,650.0
/journal/37718/nanotechnology-for-environmental-engineering,Nanotechnology for Environmental Engineering,232.0,1600.0,5.0,"Biological synthesis of metallic nanoparticles: plants, animals and microbial aspects",2017.0,170.0
/journal/38861/nanoscience-and-nanotechnology-asia,Nanoscience and Nanotechnology - Asia,356.0,875.0,0.7,Nanostructured Zinc Oxide for Water Treatment,2012.0,82.0
/journal/41355/current-research-in-nanotechnology,Current Research in Nanotechnology,31.0,97.0,N/A,Factors Affecting the Geometry of Silver Nanoparticles Synthesis in Chrysosporium Tropicum and Fusarium Oxysporum,2011.0,26.0
/journal/42395/research-letters-in-nanotechnology,Research Letters in Nanotechnology,23.0,112.0,N/A,Development of SBR-Nanoclay Composites with Epoxidized Natural Rubber as Compatibilizer,2009.0,20.0
/journal/43871/dna-and-rna-nanotechnology,DNA and RNA Nanotechnology,12.0,67.0,N/A,Engineered RNA Nanodesigns for Applications in RNA Nanotechnology,2015.0,19.0
/journal/46747/reviews-in-nanoscience-and-nanotechnology,Reviews in Nanoscience and Nanotechnology,70.0,585.0,N/A,Computational Modeling of Nanoparticle Targeted Drug Delivery,2012.0,67.0
/journal/58854/hans-journal-of-nanotechnology,Hans Journal of Nanotechnology,130.0,174.0,0.0,Numerical Simulation of Micro Direct Methanol Fuel Cells Using COMSOL,2014.0,39.0
/journal/60435/journal-of-environmental-nanotechnology,Journal of Environmental Nanotechnology,265.0,461.0,0.0,Phytochemical Screening and In Vitro Antioxidant Activities of Ethnomedicinal Plant Hydrocotyle javanica Thunb. (Apiaceae),2016.0,34.0
/journal/61289/nanotechnology-research-and-practice,Nanotechnology Research and Practice,29.0,42.0,0.0,Basic Concepts of Magnetic Water Treatment,2014.0,15.0
/journal/65417/nanotechnology-in-the-life-sciences,Nanotechnology in the Life Sciences,605.0,1100.0,1.0,Exploring the Realms of Nature for Nanosynthesis,2018.0,72.0
/journal/95483/iraqi-journal-of-nanotechnology,Iraqi Journal of Nanotechnology,13.0,N/A,0.0,Arrangement Of Silver Nanostructures on Permeable Silicon and Examination of Their Optical Properties,2021.0,N/A
/journal/104917/journal-of-research-in-nanotechnology,Journal of Research in Nanotechnology,11.0,13.0,N/A,Highly Sensing Properties Sensors Based on Ce-doped ZnO and SnO2 Nanoparticles to Ethanol Gas,N/A,6.0
/journal/104959/nanotechnology-nanomedicine-nanobiotechnology,Nanotechnology Nanomedicine & Nanobiotechnology,18.0,23.0,N/A,Magnetic Nanoparticle for Biomedicine Applications,2015.0,8.0
/journal/105227/frontiers-in-nanoscience-and-nanotechnology,Frontiers in Nanoscience and Nanotechnology,47.0,256.0,4.1,Photocatalytic degradation of organophosphate pesticides (Chlorpyrifos) using synthesized zinc oxide nanoparticle by membrane filtration reactor under UV irradiation,2015.0,25.0
/journal/112296/journal-of-nanotechnology-research,Journal of Nanotechnology Research,11.0,50.0,2.1,"Biosynthesis, Characterization and Antifungal Activity of Silver Nanoparticles by Aspergillus Niger Isolate",2019.0,23.0
/journal/86928/cancer-prevention-cancer-causes,"Cancer Prevention, Cancer Causes",35.0,151.0,N/A,How sun exposure causes skin cancer: an epidemiological perspective,2004.0,49.0
/journal/17638/acs-applied-nano-materials,ACS Applied Nano Materials,4600.0,41300.0,5.5,Nanostructured MoS2-Based Advanced Biosensors: A Review,2018.0,149.0
/journal/25361/inorganic-and-nano-metal-chemistry,Inorganic and Nano-Metal Chemistry,1200.0,2700.0,1.2,Optimization of myco-synthesized silver nanoparticles by response surface methodology employing Box-Behnken design,2019.0,49.0
/journal/31360/journal-of-micro-and-nano-manufacturing,Journal of Micro and Nano-Manufacturing,258.0,1400.0,1.3,Microwedge Machining for the Manufacture of Directional Dry Adhesives,2013.0,61.0
/journal/33873/international-journal-of-nano-and-biomaterials,International Journal of Nano and Biomaterials,300.0,743.0,0.1,Review: titanium and titanium alloy applications in medicine,2007.0,147.0
/journal/36319/micro-and-nano-systems-letters,Micro and Nano Systems Letters,112.0,969.0,2.0,RF power harvesting: a review on designing methodologies and applications,2017.0,78.0
/journal/39511/journal-of-micro-nano-mechatronics,Journal of Micro-Nano Mechatronics,48.0,547.0,N/A,A perching mechanism for micro aerial vehicles,2009.0,58.0
/journal/48112/journal-of-nano-education-print,Journal of Nano Education (Print),166.0,745.0,N/A,"Insight into the Trophic Ecology of Yellowfin Tuna, Thunnus albacares, from Compound‐Specific Nitrogen Isotope Analysis of Proteinaceous Amino Acids",2007.0,96.0
/journal/57707/journal-of-nano-and-electronic-physics,Journal of Nano- and Electronic Physics,1400.0,1300.0,0.3,A Simple Approach on Synthesis of TiO2 Nanoparticles and its Application in dye Sensitized Solar Cells,2017.0,23.0
/journal/89541/annual-review-of-nano-research,Annual Review of Nano Research,41.0,221.0,N/A,ENVIRONMENTAL APPLICATION OF NANOTECHNOLOGY,2008.0,40.0
/journal/16141/nanomedicine-nanotechnology-biology-and-medicine,"Nanomedicine: Nanotechnology, Biology, and Medicine",2400.0,104500.0,5.8,Antimicrobial effects of silver nanoparticles,2007.0,3200.0
/journal/24461/e-journal-of-surface-science-and-nanotechnology,E-Journal of Surface Science and Nanotechnology,1400.0,5000.0,0.7,Graphene Formation on a 3C-SiC(111) Thin Film Grown on Si(110) Substrate,2009.0,93.0
/journal/29647/environmental-nanotechnology-monitoring-and-management,"Environmental Nanotechnology, Monitoring and Management",701.0,5500.0,3.3,"Preliminary assessment of heavy metals in water and sediment of Karnaphuli River, Bangladesh",2016.0,191.0
/journal/30335/journal-of-nanotechnology-in-engineering-and-medicine,Journal of Nanotechnology in Engineering and Medicine,235.0,2300.0,N/A,Solar Energy Harvesting Using Nanofluids-Based Concentrating Solar Collector,2012.0,139.0
/journal/35977/international-journal-of-green-nanotechnology,International Journal of Green Nanotechnology,93.0,806.0,N/A,Cashew Apple Juice (Anacardium occidentaleL.) Speeds Up the Synthesis of Silver Nanoparticles,2012.0,94.0
/journal/45983/ieee-open-journal-of-nanotechnology,IEEE Open Journal of Nanotechnology,48.0,77.0,1.8,Ultrasound Imaging and Tracking of Micro/Nanorobots: From Individual to Collectives,2020.0,15.0
/journal/46431/journal-of-nanomaterials-molecular-nanotechnology,Journal of Nanomaterials & Molecular Nanotechnology,81.0,322.0,N/A,Effects of Nano-Wollastonite on Thermal Conductivity Coefficient of Medium-Density Fiberboard,2013.0,17.0
/journal/48467/american-journal-of-nanoscience-and-nanotechnology,American Journal of Nanoscience and Nanotechnology,16.0,177.0,N/A,Synthesis and Characterization of Titanium Oxide Nanomaterials Using Sol-Gel Method,2014.0,35.0
/journal/89344/research-journal-of-nanoscience-and-nanotechnology,Research Journal of Nanoscience and Nanotechnology,30.0,406.0,2.0,Nanoparticles: A New Technology with Wide Applications,2011.0,90.0
/journal/92909/journal-of-nanotechnology-and-materials-science,Journal of Nanotechnology and Materials Science,42.0,35.0,N/A,Nanobiofungicides: is it the next-generation of fungicides?,2015.0,9.0
/journal/103451/journal-of-nanotechnology-in-diagnosis-and-treatment,Journal of Nanotechnology in Diagnosis and Treatment,13.0,28.0,N/A,Roles of Nanotechnology in Diagnosis and Treatment of Tuberculosis,2013.0,7.0
/journal/104272/journal-of-materials-science-and-nanotechnology,Journal of Materials Science and Nanotechnology,20.0,48.0,N/A,Anodic Oxidation of Titanium in Sulphuric Acid and Phosphoric Acid Electrolytes,2014.0,8.0
/journal/106700/journal-of-food-chemistry-and-nanotechnology,Journal of Food Chemistry and Nanotechnology,66.0,209.0,1.1,"Functional Oligosaccharide: Chemicals Structure, Manufacturing, Health Benefits, Applications and Regulations",2018.0,26.0
/journal/110135/international-journal-of-nanoparticles-and-nanotechnology,International Journal of Nanoparticles and Nanotechnology,14.0,38.0,0.8,Solution Blow Spinning and Obtaining Submicrometric Fibers of Different Polymers,2017.0,6.0
/journal/110493/madridge-journal-of-nanotechnology-nanoscience,Madridge Journal of Nanotechnology & Nanoscience,27.0,40.0,0.8,Preparation and Characterization of the PVA Nanofibers produced by Electrospinning,2016.0,7.0
/journal/114453/journal-of-applied-sciences-and-nanotechnology,Journal of Applied Sciences and Nanotechnology,44.0,4.0,N/A,Perspectives of Photonics Technology to Diagnosis COVID–19 Viruses: A Short Review,2021.0,2.0
/journal/12869/cancer-research,Cancer Research,53900.0,3400000.0,9.6,The detection of disease clustering and a generalized regression approach,1967.0,7200.0
/journal/12910/lung-cancer,Lung Cancer,15400.0,186500.0,3.4,Reliability and validity of the Functional Assessment of Cancer Therapy-Lung (FACT-L) quality of life instrument,1995.0,555.0
/journal/12943/cancer-letters,Cancer Letters,15000.0,506800.0,9.7,Photo-thermal tumor ablation in mice using near infrared-absorbing nanoparticles,2004.0,1500.0
/journal/13159/bmc-cancer,BMC Cancer,13700.0,292900.0,4.6,Hypoxic enhancement of exosome release by breast cancer cells,2012.0,629.0
/journal/14690/cancer-science,Cancer Science,5600.0,175500.0,6.7,Circulating microRNA in body fluid: a new potential biomarker for cancer diagnosis and prognosis,2010.0,960.0
/journal/15532/nutrition-and-cancer,Nutrition and Cancer,4200.0,121700.0,2.6,"Fruit, vegetables, and cancer prevention: a review of the epidemiological evidence",1992.0,2500.0
/journal/15775/cancer-medicine,Cancer Medicine,4300.0,56300.0,4.7,PD-1 as a potential target in cancer therapy,2013.0,300.0
/journal/15827/cancer-investigation,Cancer Investigation,3500.0,64200.0,2.1,Development of the proteasome inhibitor Velcade (Bortezomib),2004.0,513.0
/journal/16132/journal-of-cancer,Journal of Cancer,4200.0,47900.0,4.4,Role of tumor microenvironment in tumorigenesis,2017.0,649.0
/journal/16306/cancer-cell,Cancer Cell,3200.0,516600.0,23.1,"Integrated genomic analysis identifies clinically relevant subtypes of glioblastoma characterized by abnormalities in PDGFRA, IDH1, EGFR, and NF1",2010.0,4700.0
/journal/16944/cancer-nursing,Cancer Nursing,3400.0,61500.0,2.5,Development of a symptom distress scale,1978.0,519.0
/journal/17128/molecular-cancer,Molecular Cancer,2700.0,154100.0,41.1,The complexity of NF-κB signaling in inflammation and cancer,2013.0,1800.0
/journal/17422/bulletin-du-cancer,Bulletin Du Cancer,986.0,3100.0,2.3,Hommage au docteur Luc Sensébé,2020.0,78.0
/journal/17840/cancer-discovery,Cancer Discovery,1700.0,139300.0,23.7,The cBio cancer genomics portal: an open platform for exploring multidimensional cancer genomics data,2012.0,8300.0
/journal/18271/breast-cancer,Breast Cancer,2100.0,25600.0,3.3,Fluorescence navigation with indocyanine green for detecting sentinel lymph nodes in breast cancer,2005.0,481.0
/journal/18831/cancer-epidemiology,Cancer Epidemiology,2000.0,29600.0,2.7,"The descriptive epidemiology of female breast cancer: an international comparison of screening, incidence, survival and mortality",2012.0,439.0
/journal/18959/thoracic-cancer,Thoracic Cancer,2300.0,13700.0,3.1,"Esophageal cancer statistics in China, 2011: Estimates based on 177 cancer registries",2016.0,174.0
/journal/19037/gastric-cancer,Gastric Cancer,1700.0,56500.0,7.4,Japanese classification of gastric carcinoma: 3rd English edition,2011.0,2400.0
/journal/19582/cancer-control,Cancer Control,1800.0,29500.0,2.1,Overcoming multidrug resistance in cancer: an update on the clinical strategy of inhibiting p-glycoprotein,2003.0,743.0
/journal/19727/cancer-biomarkers,Cancer Biomarkers,1600.0,19800.0,3.7,Hsa_circ_0001649: A circular RNA and potential novel biomarker for hepatocellular carcinoma,2016.0,348.0
/journal/20492/familial-cancer,Familial Cancer,1300.0,22800.0,2.9,Attenuated familial adenomatous polyposis (AFAP). A review of the literature,2003.0,211.0
/journal/20890/cancer-genetics,Cancer Genetics,1500.0,11100.0,1.2,Genetics of adult glioma,2012.0,551.0
/journal/21087/cancer-cytopathology,Cancer Cytopathology,1300.0,19900.0,3.9,Impact of reclassifying noninvasive follicular variant of papillary thyroid carcinoma on the risk of malignancy in The Bethesda System for Reporting Thyroid Cytopathology,2016.0,220.0
